accession	Domain	Phylum	Class	Order	Family	Genus	Species
RS_GCF_000970205.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina mazei
RS_GCF_001017125.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoculleaceae	g__Methanoculleus	s__Methanoculleus sediminis
RS_GCF_001368915.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax massiliensis
RS_GCF_001462205.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloparvum	s__Haloparvum sedimenti
RS_GCF_001639295.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_D	s__Methanobrevibacter_D curvatus
RS_GCF_002153915.1	d__Archaea	p__Halobacteriota	c__Methanonatronarchaeia	o__Methanonatronarchaeales	f__Methanonatronarchaeaceae	g__Methanonatronarchaeum	s__Methanonatronarchaeum thermophilum
RS_GCF_002214585.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus profundus
RS_GCF_003173355.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanospirillaceae	g__Methanospirillum	s__Methanospirillum lacunae
RS_GCF_003201675.2	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Sulfolobaceae	g__Metallosphaera	s__Metallosphaera hakonensis
RS_GCF_004102725.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoculleaceae	g__Methanoculleus_A	s__Methanoculleus_A taiwanensis
RS_GCF_004114375.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sp004114375
RS_GCF_004297185.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanofollaceae	g__Methanofollis	s__Methanofollis sp004297185
RS_GCF_004785955.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__QS-9-68-17	g__Halostella	s__Halostella litorea
RS_GCF_005576615.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema versiforme_A
RS_GCF_009690625.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorhabdus	s__Halorhabdus sp009690625
RS_GCF_009834785.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronorubrum	s__Natronorubrum sp009834785
RS_GCF_009914725.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanomicrobiaceae	g__Methanogenium	s__Methanogenium sp009914725
RS_GCF_010119195.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula salina
RS_GCF_012027595.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus sp012027595
RS_GCF_013340765.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Conexivisphaerales	f__Conexivisphaeraceae	g__Conexivisphaera	s__Conexivisphaera calidus
RS_GCF_013407165.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosopumilus	s__Nitrosopumilus oxyclinae
